"id_municipio","Município","Situação do domicílio","Grupo de idade","rural_pop"
"1500347","Água Azul do Norte (PA)","Rural","Total","80.54"
"1500404","Alenquer (PA)","Rural","Total","47.32"
"1500503","Almeirim (PA)","Rural","Total","40.61"
"1500602","Altamira (PA)","Rural","Total","15.12"
"1500701","Anajás (PA)","Rural","Total","61.65"
"1500800","Ananindeua (PA)","Rural","Total","0.25"
"1500859","Anapu (PA)","Rural","Total","52.13"
"1500909","Augusto Corrêa (PA)","Rural","Total","54.96"
"1500958","Aurora do Pará (PA)","Rural","Total","69.23"
"1501006","Aveiro (PA)","Rural","Total","79.94"
"1501105","Bagre (PA)","Rural","Total","55.33"
"1501204","Baião (PA)","Rural","Total","49.69"
"1501253","Bannach (PA)","Rural","Total","62.63"
"1501303","Barcarena (PA)","Rural","Total","63.65"
"1501402","Belém (PA)","Rural","Total","0.86"
"1501451","Belterra (PA)","Rural","Total","58.01"
"1501501","Benevides (PA)","Rural","Total","44.02"
"1501576","Bom Jesus do Tocantins (PA)","Rural","Total","46.67"
"1501600","Bonito (PA)","Rural","Total","71.92"
"1501709","Bragança (PA)","Rural","Total","35.86"
"1501725","Brasil Novo (PA)","Rural","Total","56.03"
"1501758","Brejo Grande do Araguaia (PA)","Rural","Total","41.12"
"1501782","Breu Branco (PA)","Rural","Total","44.17"
"1501808","Breves (PA)","Rural","Total","49.74"
"1501907","Bujaru (PA)","Rural","Total","68.48"
"1501956","Cachoeira do Piriá (PA)","Rural","Total","79.11"
"1502004","Cachoeira do Arari (PA)","Rural","Total","64.02"
"1502103","Cametá (PA)","Rural","Total","56.29"
"1502152","Canaã dos Carajás (PA)","Rural","Total","22.42"
"1502202","Capanema (PA)","Rural","Total","20.28"
"1502301","Capitão Poço (PA)","Rural","Total","58.68"
"1502400","Castanhal (PA)","Rural","Total","11.42"
"1502509","Chaves (PA)","Rural","Total","88.05"
"1502608","Colares (PA)","Rural","Total","67.83"
"1502707","Conceição do Araguaia (PA)","Rural","Total","28.74"
"1502756","Concórdia do Pará (PA)","Rural","Total","46.53"
"1502764","Cumaru do Norte (PA)","Rural","Total","74.10"
"1502772","Curionópolis (PA)","Rural","Total","31.49"
"1502806","Curralinho (PA)","Rural","Total","61.71"
"1502855","Curuá (PA)","Rural","Total","52.82"
"1502905","Curuçá (PA)","Rural","Total","64.50"
"1502939","Dom Eliseu (PA)","Rural","Total","36.64"
"1502954","Eldorado do Carajás (PA)","Rural","Total","47.84"
"1503002","Faro (PA)","Rural","Total","25.06"
"1503044","Floresta do Araguaia (PA)","Rural","Total","50.96"
"1503077","Garrafão do Norte (PA)","Rural","Total","65.62"
"1503093","Goianésia do Pará (PA)","Rural","Total","30.73"
"1503101","Gurupá (PA)","Rural","Total","67.04"
"1503200","Igarapé-Açu (PA)","Rural","Total","40.91"
"1503309","Igarapé-Miri (PA)","Rural","Total","54.88"
"1503408","Inhangapi (PA)","Rural","Total","72.39"
"1503457","Ipixuna do Pará (PA)","Rural","Total","76.17"
"1503507","Irituia (PA)","Rural","Total","79.20"
"1503606","Itaituba (PA)","Rural","Total","27.50"
"1503705","Itupiranga (PA)","Rural","Total","60.00"
"1503754","Jacareacanga (PA)","Rural","Total","65.04"
"1503804","Jacundá (PA)","Rural","Total","11.05"
"1503903","Juruti (PA)","Rural","Total","66.33"
"1504000","Limoeiro do Ajuru (PA)","Rural","Total","75.23"
"1504059","Mãe do Rio (PA)","Rural","Total","17.39"
"1504109","Magalhães Barata (PA)","Rural","Total","53.23"
"1504208","Marabá (PA)","Rural","Total","20.28"
"1504307","Maracanã (PA)","Rural","Total","58.92"
"1504406","Marapanim (PA)","Rural","Total","56.01"
"1504422","Marituba (PA)","Rural","Total","1.04"
"1504455","Medicilândia (PA)","Rural","Total","65.02"
"1504505","Melgaço (PA)","Rural","Total","77.82"
"1504604","Mocajuba (PA)","Rural","Total","31.62"
"1504703","Moju (PA)","Rural","Total","64.06"
"1504802","Monte Alegre (PA)","Rural","Total","55.71"
"1504901","Muaná (PA)","Rural","Total","57.55"
"1504950","Nova Esperança do Piriá (PA)","Rural","Total","60.49"
"1504976","Nova Ipixuna (PA)","Rural","Total","47.24"
"1505007","Nova Timboteua (PA)","Rural","Total","59.62"
"1505031","Novo Progresso (PA)","Rural","Total","29.48"
"1505064","Novo Repartimento (PA)","Rural","Total","54.96"
"1505106","Óbidos (PA)","Rural","Total","48.38"
"1505205","Oeiras do Pará (PA)","Rural","Total","60.02"
"1505304","Oriximiná (PA)","Rural","Total","36.07"
"1505403","Ourém (PA)","Rural","Total","54.40"
