"id_municipio","Município","Destino do lixo","house_income_BRL"
"1302603","Manaus (AM)","Total","2378.02"
"1302702","Manicoré (AM)","Total","1164.29"
"1302801","Maraã (AM)","Total","969.97"
"1302900","Maués (AM)","Total","1004.96"
"1303007","Nhamundá (AM)","Total","773.93"
"1303106","Nova Olinda do Norte (AM)","Total","1033.62"
"1303205","Novo Airão (AM)","Total","1070.14"
"1303304","Novo Aripuanã (AM)","Total","1002.09"
"1303403","Parintins (AM)","Total","1290.25"
"1303502","Pauini (AM)","Total","933.16"
"1303536","Presidente Figueiredo (AM)","Total","1365.31"
"1303569","Rio Preto da Eva (AM)","Total","1192.40"
"1303601","Santa Isabel do Rio Negro (AM)","Total","742.01"
"1303700","Santo Antônio do Içá (AM)","Total","794.39"
"1303809","São Gabriel da Cachoeira (AM)","Total","1238.60"
"1303908","São Paulo de Olivença (AM)","Total","793.41"
"1303957","São Sebastião do Uatumã (AM)","Total","1079.36"
"1304005","Silves (AM)","Total","1004.10"
"1304062","Tabatinga (AM)","Total","1301.54"
"1304104","Tapauá (AM)","Total","860.92"
"1304203","Tefé (AM)","Total","1540.89"
"1304237","Tonantins (AM)","Total","817.41"
"1304260","Uarini (AM)","Total","898.64"
"1304302","Urucará (AM)","Total","1070.52"
"1304401","Urucurituba (AM)","Total","1062.11"
"1400027","Amajari (RR)","Total","607.40"
"1400050","Alto Alegre (RR)","Total","720.42"
"1400100","Boa Vista (RR)","Total","2395.08"
"1400159","Bonfim (RR)","Total","940.06"
"1400175","Cantá (RR)","Total","985.19"
"1400209","Caracaraí (RR)","Total","1174.64"
"1400233","Caroebe (RR)","Total","1143.44"
"1400282","Iracema (RR)","Total","836.36"
"1400308","Mucajaí (RR)","Total","1150.67"
"1400407","Normandia (RR)","Total","921.38"
"1400456","Pacaraima (RR)","Total","1234.68"
"1400472","Rorainópolis (RR)","Total","1127.84"
"1400506","São João da Baliza (RR)","Total","1214.13"
"1400605","São Luiz (RR)","Total","1161.64"
"1400704","Uiramutã (RR)","Total","796.53"
"1500107","Abaetetuba (PA)","Total","1108.96"
"1500131","Abel Figueiredo (PA)","Total","1192.88"
"1500206","Acará (PA)","Total","767.75"
"1500305","Afuá (PA)","Total","686.14"
"1500347","Água Azul do Norte (PA)","Total","1254.27"
"1500404","Alenquer (PA)","Total","776.58"
"1500503","Almeirim (PA)","Total","1647.33"
"1500602","Altamira (PA)","Total","1522.96"
"1500701","Anajás (PA)","Total","837.39"
"1500800","Ananindeua (PA)","Total","1720.13"
"1500859","Anapu (PA)","Total","935.63"
"1500909","Augusto Corrêa (PA)","Total","609.90"
"1500958","Aurora do Pará (PA)","Total","743.19"
"1501006","Aveiro (PA)","Total","666.19"
"1501105","Bagre (PA)","Total","831.48"
"1501204","Baião (PA)","Total","852.49"
"1501253","Bannach (PA)","Total","1192.83"
"1501303","Barcarena (PA)","Total","1349.75"
"1501402","Belém (PA)","Total","2517.41"
"1501451","Belterra (PA)","Total","895.80"
"1501501","Benevides (PA)","Total","1229.64"
"1501576","Bom Jesus do Tocantins (PA)","Total","1113.91"
"1501600","Bonito (PA)","Total","767.92"
"1501709","Bragança (PA)","Total","1096.14"
"1501725","Brasil Novo (PA)","Total","1242.98"
"1501758","Brejo Grande do Araguaia (PA)","Total","961.68"
"1501782","Breu Branco (PA)","Total","924.12"
"1501808","Breves (PA)","Total","967.41"
"1501907","Bujaru (PA)","Total","730.31"
"1501956","Cachoeira do Piriá (PA)","Total","558.33"
"1502004","Cachoeira do Arari (PA)","Total","757.77"
"1502103","Cametá (PA)","Total","884.23"
"1502152","Canaã dos Carajás (PA)","Total","1527.77"
"1502202","Capanema (PA)","Total","1262.81"
"1502301","Capitão Poço (PA)","Total","803.14"
"1502400","Castanhal (PA)","Total","1453.61"
"1502509","Chaves (PA)","Total","655.52"
"1502608","Colares (PA)","Total","840.74"
"1502707","Conceição do Araguaia (PA)","Total","1183.89"
"1502756","Concórdia do Pará (PA)","Total","925.83"
"1502764","Cumaru do Norte (PA)","Total","1279.23"
"1502772","Curionópolis (PA)","Total","992.41"
"1502806","Curralinho (PA)","Total","860.89"
"1502855","Curuá (PA)","Total","688.45"
"1502905","Curuçá (PA)","Total","792.53"
"1502939","Dom Eliseu (PA)","Total","1092.16"
"1502954","Eldorado do Carajás (PA)","Total","952.23"
"1503002","Faro (PA)","Total","806.20"
"1503044","Floresta do Araguaia (PA)","Total","988.24"
"1503077","Garrafão do Norte (PA)","Total","767.18"
"1503093","Goianésia do Pará (PA)","Total","996.98"
"1503101","Gurupá (PA)","Total","884.52"
"1503200","Igarapé-Açu (PA)","Total","906.58"
"1503309","Igarapé-Miri (PA)","Total","815.56"
"1503408","Inhangapi (PA)","Total","885.77"
"1503457","Ipixuna do Pará (PA)","Total","747.62"
"1503507","Irituia (PA)","Total","792.75"
"1503606","Itaituba (PA)","Total","1408.06"
"1503705","Itupiranga (PA)","Total","862.34"
"1503754","Jacareacanga (PA)","Total","1273.46"
"1503804","Jacundá (PA)","Total","1087.03"
"1503903","Juruti (PA)","Total","1013.14"
"1504000","Limoeiro do Ajuru (PA)","Total","713.96"
"1504059","Mãe do Rio (PA)","Total","1114.87"
"1504109","Magalhães Barata (PA)","Total","1194.66"
"1504208","Marabá (PA)","Total","1640.32"
"1504307","Maracanã (PA)","Total","751.16"
"1504406","Marapanim (PA)","Total","993.53"
"1504422","Marituba (PA)","Total","1222.52"
"1504455","Medicilândia (PA)","Total","1153.07"
"1504505","Melgaço (PA)","Total","721.09"
"1504604","Mocajuba (PA)","Total","911.67"
"1504703","Moju (PA)","Total","887.63"
"1504802","Monte Alegre (PA)","Total","846.82"
"1504901","Muaná (PA)","Total","886.65"
"1504950","Nova Esperança do Piriá (PA)","Total","652.52"
"1504976","Nova Ipixuna (PA)","Total","1002.08"
"1505007","Nova Timboteua (PA)","Total","896.29"
"1505031","Novo Progresso (PA)","Total","1763.40"
"1505064","Novo Repartimento (PA)","Total","950.52"
"1505106","Óbidos (PA)","Total","875.58"
"1505205","Oeiras do Pará (PA)","Total","773.35"
"1505304","Oriximiná (PA)","Total","1176.29"
"1505403","Ourém (PA)","Total","882.92"
"1505437","Ourilândia do Norte (PA)","Total","1455.44"
"1505486","Pacajá (PA)","Total","774.95"
"1505494","Palestina do Pará (PA)","Total","931.67"
"1505502","Paragominas (PA)","Total","1386.65"
"1505536","Parauapebas (PA)","Total","1810.77"
"1505551","Pau D'Arco (PA)","Total","893.21"
"1505601","Peixe-Boi (PA)","Total","767.27"
"1505635","Piçarra (PA)","Total","949.85"
"1505650","Placas (PA)","Total","822.19"
"1505700","Ponta de Pedras (PA)","Total","822.50"
"1505809","Portel (PA)","Total","874.31"
"1505908","Porto de Moz (PA)","Total","767.94"
"1506005","Prainha (PA)","Total","711.92"
"1506104","Primavera (PA)","Total","824.33"
"1506112","Quatipuru (PA)","Total","840.60"
"1506138","Redenção (PA)","Total","1656.60"
"1506161","Rio Maria (PA)","Total","1414.46"
"1506187","Rondon do Pará (PA)","Total","1053.94"
"1506195","Rurópolis (PA)","Total","814.45"
"1506203","Salinópolis (PA)","Total","1386.40"
"1506302","Salvaterra (PA)","Total","1009.17"
"1506351","Santa Bárbara do Pará (PA)","Total","1009.31"
"1506401","Santa Cruz do Arari (PA)","Total","786.93"
"1506500","Santa Izabel do Pará (PA)","Total","1185.08"
"1506559","Santa Luzia do Pará (PA)","Total","770.09"
"1506583","Santa Maria das Barreiras (PA)","Total","849.13"
"1506609","Santa Maria do Pará (PA)","Total","975.11"
"1506708","Santana do Araguaia (PA)","Total","1078.39"
"1506807","Santarém (PA)","Total","1408.66"
"1506906","Santarém Novo (PA)","Total","733.15"
"1507003","Santo Antônio do Tauá (PA)","Total","1001.82"
"1507102","São Caetano de Odivelas (PA)","Total","881.08"
"1507151","São Domingos do Araguaia (PA)","Total","1016.53"
"1507201","São Domingos do Capim (PA)","Total","683.58"
"1507300","São Félix do Xingu (PA)","Total","1231.98"
"1507409","São Francisco do Pará (PA)","Total","1060.64"
"1507458","São Geraldo do Araguaia (PA)","Total","1098.90"
"1507466","São João da Ponta (PA)","Total","715.06"
"1507474","São João de Pirabas (PA)","Total","828.29"
"1507508","São João do Araguaia (PA)","Total","809.57"
"1507607","São Miguel do Guamá (PA)","Total","1040.59"
"1507706","São Sebastião da Boa Vista (PA)","Total","799.44"
"1507755","Sapucaia (PA)","Total","1340.96"
"1507805","Senador José Porfírio (PA)","Total","739.09"
"1507904","Soure (PA)","Total","1152.49"
"1507953","Tailândia (PA)","Total","1122.59"
"1507961","Terra Alta (PA)","Total","862.46"
"1507979","Terra Santa (PA)","Total","1116.22"
"1508001","Tomé-Açu (PA)","Total","1241.13"
"1508035","Tracuateua (PA)","Total","724.54"
"1508050","Trairão (PA)","Total","1171.98"
"1508084","Tucumã (PA)","Total","1500.70"
"1508100","Tucuruí (PA)","Total","1734.36"
"1508126","Ulianópolis (PA)","Total","1293.61"
"1508159","Uruará (PA)","Total","1219.71"
"1508209","Vigia (PA)","Total","1089.25"
"1508308","Viseu (PA)","Total","610.27"
"1508357","Vitória do Xingu (PA)","Total","1038.60"
"1508407","Xinguara (PA)","Total","1434.37"
"1600055","Serra do Navio (AP)","Total","1604.39"
"1600105","Amapá (AP)","Total","1566.65"
"1600154","Pedra Branca do Amapari (AP)","Total","1296.61"
"1600204","Calçoene (AP)","Total","1262.79"
"1600212","Cutias (AP)","Total","1188.89"
"1600238","Ferreira Gomes (AP)","Total","1639.19"
"1600253","Itaubal (AP)","Total","891.32"
"1600279","Laranjal do Jari (AP)","Total","1360.80"
"1600303","Macapá (AP)","Total","2551.86"
"1600402","Mazagão (AP)","Total","1202.67"
"1600501","Oiapoque (AP)","Total","1692.56"
"1600535","Porto Grande (AP)","Total","1224.59"
"1600550","Pracuúba (AP)","Total","1099.26"
"1600600","Santana (AP)","Total","1787.75"
"1600709","Tartarugalzinho (AP)","Total","1016.78"
"1600808","Vitória do Jari (AP)","Total","1138.39"
"1700251","Abreulândia (TO)","Total","929.38"
"1700301","Aguiarnópolis (TO)","Total","1557.27"
"1700350","Aliança do Tocantins (TO)","Total","1116.43"
"1700400","Almas (TO)","Total","1081.37"
"1700707","Alvorada (TO)","Total","1612.67"
"1701002","Ananás (TO)","Total","1322.86"
"1701051","Angico (TO)","Total","997.62"
"1701101","Aparecida do Rio Negro (TO)","Total","1014.14"
"1701309","Aragominas (TO)","Total","1039.13"
"1701903","Araguacema (TO)","Total","1007.84"
"1702000","Araguaçu (TO)","Total","1204.09"
"1702109","Araguaína (TO)","Total","2023.56"
"1702158","Araguanã (TO)","Total","1067.67"
"1702208","Araguatins (TO)","Total","1160.18"
"1702307","Arapoema (TO)","Total","1343.31"
"1702406","Arraias (TO)","Total","1262.32"
"1702554","Augustinópolis (TO)","Total","1184.27"
"1702703","Aurora do Tocantins (TO)","Total","1137.98"
"1702901","Axixá do Tocantins (TO)","Total","1086.90"
"1703008","Babaçulândia (TO)","Total","1107.46"
"1703057","Bandeirantes do Tocantins (TO)","Total","1082.48"
"1703073","Barra do Ouro (TO)","Total","866.02"
"1703107","Barrolândia (TO)","Total","1097.62"
"1703206","Bernardo Sayão (TO)","Total","1058.51"
"1703305","Bom Jesus do Tocantins (TO)","Total","1287.06"
"1703602","Brasilândia do Tocantins (TO)","Total","1376.99"
"1703701","Brejinho de Nazaré (TO)","Total","1174.59"
"1703800","Buriti do Tocantins (TO)","Total","1003.47"
"1703826","Cachoeirinha (TO)","Total","927.42"
"1703842","Campos Lindos (TO)","Total","894.45"
"1703867","Cariri do Tocantins (TO)","Total","1224.82"
"1703883","Carmolândia (TO)","Total","1400.15"
"1703891","Carrasco Bonito (TO)","Total","841.24"
"1703909","Caseara (TO)","Total","1178.32"
"1704105","Centenário (TO)","Total","938.96"
"1704600","Chapada de Areia (TO)","Total","938.35"
"1705102","Chapada da Natividade (TO)","Total","1031.52"
"1705508","Colinas do Tocantins (TO)","Total","1575.13"
"1705557","Combinado (TO)","Total","1341.74"
"1705607","Conceição do Tocantins (TO)","Total","999.67"
"1706001","Couto Magalhães (TO)","Total","967.36"
"1706100","Cristalândia (TO)","Total","1449.57"
"1706258","Crixás do Tocantins (TO)","Total","1063.94"
"1706506","Darcinópolis (TO)","Total","960.13"
"1707009","Dianópolis (TO)","Total","1743.14"
"1707108","Divinópolis do Tocantins (TO)","Total","1285.11"
"1707207","Dois Irmãos do Tocantins (TO)","Total","923.10"
"1707306","Dueré (TO)","Total","1541.61"
"1707405","Esperantina (TO)","Total","718.33"
"1707553","Fátima (TO)","Total","1247.89"
"1707652","Figueirópolis (TO)","Total","1514.46"
"1707702","Filadélfia (TO)","Total","1068.93"
"1708205","Formoso do Araguaia (TO)","Total","1278.75"
"1708254","Tabocão (TO)","Total","1228.32"
"1708304","Goianorte (TO)","Total","957.72"
"1709005","Goiatins (TO)","Total","876.31"
"1709302","Guaraí (TO)","Total","1770.04"
"1709500","Gurupi (TO)","Total","2213.16"
"1709807","Ipueiras (TO)","Total","959.16"
"1710508","Itacajá (TO)","Total","1079.76"
"1710706","Itaguatins (TO)","Total","969.51"
"1710904","Itapiratins (TO)","Total","1162.45"
"1711100","Itaporã do Tocantins (TO)","Total","1149.08"
"1711506","Jaú do Tocantins (TO)","Total","1295.41"
"1711803","Juarina (TO)","Total","750.20"
"1711902","Lagoa da Confusão (TO)","Total","1475.28"
"1711951","Lagoa do Tocantins (TO)","Total","783.68"
"1712009","Lajeado (TO)","Total","1513.64"
"1712157","Lavandeira (TO)","Total","926.99"
"1712405","Lizarda (TO)","Total","635.97"
"1712454","Luzinópolis (TO)","Total","982.06"
"1712504","Marianópolis do Tocantins (TO)","Total","1204.14"
"1712702","Mateiros (TO)","Total","1486.40"
"1712801","Maurilândia do Tocantins (TO)","Total","805.16"
"1713205","Miracema do Tocantins (TO)","Total","1583.90"
"1713304","Miranorte (TO)","Total","1292.25"
"1713601","Monte do Carmo (TO)","Total","1179.99"
"1713700","Monte Santo do Tocantins (TO)","Total","763.16"
"1713809","Palmeiras do Tocantins (TO)","Total","1191.51"
"1713957","Muricilândia (TO)","Total","897.97"
"1714203","Natividade (TO)","Total","1316.25"
"1714302","Nazaré (TO)","Total","995.63"
"1714880","Nova Olinda (TO)","Total","1100.12"
"1715002","Nova Rosalândia (TO)","Total","1005.56"
"1715101","Novo Acordo (TO)","Total","1242.97"
"1715150","Novo Alegre (TO)","Total","1207.57"
"1715259","Novo Jardim (TO)","Total","949.07"
"1715507","Oliveira de Fátima (TO)","Total","1202.61"
"1715705","Palmeirante (TO)","Total","896.13"
"1715754","Palmeirópolis (TO)","Total","1305.46"
"1716109","Paraíso do Tocantins (TO)","Total","1969.96"
"1716208","Paranã (TO)","Total","951.62"
"1716307","Pau D'Arco (TO)","Total","1108.01"
"1716505","Pedro Afonso (TO)","Total","1880.00"
"1716604","Peixe (TO)","Total","1280.83"
"1716653","Pequizeiro (TO)","Total","1073.76"
"1716703","Colméia (TO)","Total","1314.16"
"1717008","Pindorama do Tocantins (TO)","Total","1030.14"
"1717206","Piraquê (TO)","Total","977.28"
"1717503","Pium (TO)","Total","1299.47"
"1717800","Ponte Alta do Bom Jesus (TO)","Total","939.22"
"1717909","Ponte Alta do Tocantins (TO)","Total","994.92"
"1718006","Porto Alegre do Tocantins (TO)","Total","1022.82"
"1718204","Porto Nacional (TO)","Total","1789.68"
"1718303","Praia Norte (TO)","Total","743.71"
"1718402","Presidente Kennedy (TO)","Total","1200.51"
"1718451","Pugmil (TO)","Total","1204.83"
"1718501","Recursolândia (TO)","Total","720.01"
"1718550","Riachinho (TO)","Total","645.45"
"1718659","Rio da Conceição (TO)","Total","898.09"
"1718709","Rio dos Bois (TO)","Total","886.95"
"1718758","Rio Sono (TO)","Total","896.03"
"1718808","Sampaio (TO)","Total","829.95"
"1718840","Sandolândia (TO)","Total","997.46"
"1718865","Santa Fé do Araguaia (TO)","Total","1078.31"
"1718881","Santa Maria do Tocantins (TO)","Total","975.73"
"1718899","Santa Rita do Tocantins (TO)","Total","1020.35"
"1718907","Santa Rosa do Tocantins (TO)","Total","866.45"
"1719004","Santa Tereza do Tocantins (TO)","Total","1217.38"
"1720002","Santa Terezinha do Tocantins (TO)","Total","996.89"
"1720101","São Bento do Tocantins (TO)","Total","1040.07"
"1720150","São Félix do Tocantins (TO)","Total","851.89"
"1720200","São Miguel do Tocantins (TO)","Total","883.63"
"1720259","São Salvador do Tocantins (TO)","Total","974.95"
"1720309","São Sebastião do Tocantins (TO)","Total","748.18"
"1720499","São Valério (TO)","Total","1004.00"
"1720655","Silvanópolis (TO)","Total","1201.17"
"1720804","Sítio Novo do Tocantins (TO)","Total","722.67"
"1720853","Sucupira (TO)","Total","1045.22"
"1720903","Taguatinga (TO)","Total","1102.23"
"1720937","Taipas do Tocantins (TO)","Total","1023.10"
"1720978","Talismã (TO)","Total","1331.07"
"1721000","Palmas (TO)","Total","2896.73"
"1721109","Tocantínia (TO)","Total","978.09"
"1721208","Tocantinópolis (TO)","Total","1423.56"
"1721257","Tupirama (TO)","Total","1339.39"
"1721307","Tupiratins (TO)","Total","780.98"
"1722081","Wanderlândia (TO)","Total","1177.98"
"1722107","Xambioá (TO)","Total","1320.68"
"2100055","Açailândia (MA)","Total","1286.84"
"2100105","Afonso Cunha (MA)","Total","631.94"
"2100154","Água Doce do Maranhão (MA)","Total","695.46"
"2100204","Alcântara (MA)","Total","663.32"
"2100303","Aldeias Altas (MA)","Total","613.45"
"2100402","Altamira do Maranhão (MA)","Total","663.65"
"2100436","Alto Alegre do Maranhão (MA)","Total","715.49"
"2100477","Alto Alegre do Pindaré (MA)","Total","586.53"
"2100501","Alto Parnaíba (MA)","Total","1077.31"
"2100550","Amapá do Maranhão (MA)","Total","663.95"
"2100600","Amarante do Maranhão (MA)","Total","737.75"
"2100709","Anajatuba (MA)","Total","652.36"
"2100808","Anapurus (MA)","Total","789.96"
"2100832","Apicum-Açu (MA)","Total","782.21"
"2100873","Araguanã (MA)","Total","680.81"
"2100907","Araioses (MA)","Total","617.79"
"2100956","Arame (MA)","Total","646.84"
"2101004","Arari (MA)","Total","1022.28"
"2101103","Axixá (MA)","Total","873.41"
"2101202","Bacabal (MA)","Total","1189.23"
"2101251","Bacabeira (MA)","Total","811.84"
"2101301","Bacuri (MA)","Total","729.17"
"2101350","Bacurituba (MA)","Total","586.98"
"2101400","Balsas (MA)","Total","1681.52"
"2101509","Barão de Grajaú (MA)","Total","981.23"
"2101608","Barra do Corda (MA)","Total","890.62"
"2101707","Barreirinhas (MA)","Total","769.08"
"2101731","Belágua (MA)","Total","536.72"
"2101772","Bela Vista do Maranhão (MA)","Total","735.65"
"2101806","Benedito Leite (MA)","Total","783.40"
"2101905","Bequimão (MA)","Total","629.34"
"2101939","Bernardo do Mearim (MA)","Total","851.37"
"2101970","Boa Vista do Gurupi (MA)","Total","821.33"
"2102002","Bom Jardim (MA)","Total","620.53"
"2102036","Bom Jesus das Selvas (MA)","Total","669.40"
"2102077","Bom Lugar (MA)","Total","627.28"
"2102101","Brejo (MA)","Total","718.83"
"2102150","Brejo de Areia (MA)","Total","782.93"
"2102200","Buriti (MA)","Total","684.25"
"2102309","Buriti Bravo (MA)","Total","773.46"
"2102325","Buriticupu (MA)","Total","801.50"
"2102358","Buritirana (MA)","Total","829.90"
"2102374","Cachoeira Grande (MA)","Total","496.87"
"2102408","Cajapió (MA)","Total","521.44"
"2102507","Cajari (MA)","Total","536.38"
"2102556","Campestre do Maranhão (MA)","Total","1209.50"
"2102606","Cândido Mendes (MA)","Total","701.07"
"2102705","Cantanhede (MA)","Total","655.78"
"2102754","Capinzal do Norte (MA)","Total","746.62"
"2102804","Carolina (MA)","Total","1160.84"
"2102903","Carutapera (MA)","Total","900.69"
"2103000","Caxias (MA)","Total","1092.01"
"2103109","Cedral (MA)","Total","711.44"
"2103125","Central do Maranhão (MA)","Total","614.95"
"2103158","Centro do Guilherme (MA)","Total","859.16"
"2103174","Centro Novo do Maranhão (MA)","Total","827.27"
"2103208","Chapadinha (MA)","Total","891.66"
"2103257","Cidelândia (MA)","Total","929.55"
"2103307","Codó (MA)","Total","879.41"
"2103406","Coelho Neto (MA)","Total","821.41"
"2103505","Colinas (MA)","Total","840.65"
"2103554","Conceição do Lago-Açu (MA)","Total","641.74"
"2103604","Coroatá (MA)","Total","757.06"
"2103703","Cururupu (MA)","Total","837.21"
"2103752","Davinópolis (MA)","Total","908.20"
"2103802","Dom Pedro (MA)","Total","1004.64"
"2103901","Duque Bacelar (MA)","Total","585.83"
"2104008","Esperantinópolis (MA)","Total","801.32"
"2104057","Estreito (MA)","Total","1543.77"
"2104073","Feira Nova do Maranhão (MA)","Total","652.02"
"2104081","Fernando Falcão (MA)","Total","563.67"
"2104099","Formosa da Serra Negra (MA)","Total","685.19"
"2104107","Fortaleza dos Nogueiras (MA)","Total","1034.70"
"2104206","Fortuna (MA)","Total","818.61"
"2104305","Godofredo Viana (MA)","Total","885.43"
"2104404","Gonçalves Dias (MA)","Total","817.32"
"2104503","Governador Archer (MA)","Total","863.85"
"2104552","Governador Edison Lobão (MA)","Total","1000.26"
"2104602","Governador Eugênio Barros (MA)","Total","804.32"
"2104628","Governador Luiz Rocha (MA)","Total","680.16"
"2104651","Governador Newton Bello (MA)","Total","656.23"
"2104677","Governador Nunes Freire (MA)","Total","815.58"
"2104701","Graça Aranha (MA)","Total","729.05"
"2104800","Grajaú (MA)","Total","1027.48"
"2104909","Guimarães (MA)","Total","738.61"
"2105005","Humberto de Campos (MA)","Total","502.77"
"2105104","Icatu (MA)","Total","592.87"
"2105153","Igarapé do Meio (MA)","Total","795.72"
"2105203","Igarapé Grande (MA)","Total","925.66"
"2105302","Imperatriz (MA)","Total","1844.49"
"2105351","Itaipava do Grajaú (MA)","Total","556.36"
"2105401","Itapecuru Mirim (MA)","Total","776.28"
"2105427","Itinga do Maranhão (MA)","Total","987.14"
"2105450","Jatobá (MA)","Total","679.40"
