"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"4315172","Protásio Alves (RS)","Total","Total","94.20","3.87","1.86","-"
"4315206","Putinga (RS)","Total","Total","92.08","0.58","7.12","-"
"4315305","Quaraí (RS)","Total","Total","83.64","3.54","12.58","-"
"4315313","Quatro Irmãos (RS)","Total","Total","74.43","0.81","24.66","-"
"4315321","Quevedos (RS)","Total","Total","83.13","1.15","15.71","-"
"4315354","Quinze de Novembro (RS)","Total","Total","93.00","1.32","5.58","-"
"4315404","Redentora (RS)","Total","Total","48.82","1.52","9.13","40.09"
"4315453","Relvado (RS)","Total","Total","96.09","0.79","2.71","-"
"4315503","Restinga Sêca (RS)","Total","Total","80.37","9.91","9.53","0.03"
"4315552","Rio dos Índios (RS)","Total","Total","75.47","2.02","17.26","3.95"
"4315602","Rio Grande (RS)","Total","Total","79.62","8.52","11.32","0.14"
"4315701","Rio Pardo (RS)","Total","Total","86.75","6.47","6.61","0.16"
"4315750","Riozinho (RS)","Total","Total","89.89","1.19","7.88","0.45"
"4315800","Roca Sales (RS)","Total","Total","89.55","2.14","8.12","-"
"4315909","Rodeio Bonito (RS)","Total","Total","86.37","0.74","12.24","0.65"
"4315958","Rolador (RS)","Total","Total","80.46","2.06","16.58","-"
"4316006","Rolante (RS)","Total","Total","92.23","1.43","5.91","0.04"
"4316105","Ronda Alta (RS)","Total","Total","71.98","2.74","13.48","11.43"
"4316204","Rondinha (RS)","Total","Total","91.52","1.27","7.13","-"
"4316303","Roque Gonzales (RS)","Total","Total","70.23","2.26","26.47","-"
"4316402","Rosário do Sul (RS)","Total","Total","77.09","7.46","14.95","0.18"
"4316428","Sagrada Família (RS)","Total","Total","71.34","2.67","25.84","-"
"4316436","Saldanha Marinho (RS)","Total","Total","84.68","2.52","12.67","0.13"
"4316451","Salto do Jacuí (RS)","Total","Total","77.50","2.68","14.76","3.64"
"4316477","Salvador das Missões (RS)","Total","Total","93.17","0.45","6.06","-"
"4316501","Salvador do Sul (RS)","Total","Total","93.14","1.70","5.05","0.04"
"4316600","Sananduva (RS)","Total","Total","87.92","1.60","10.23","0.08"
"4316709","Santa Bárbara do Sul (RS)","Total","Total","82.64","2.67","14.12","-"
"4316733","Santa Cecília do Sul (RS)","Total","Total","84.12","4.02","11.05","0.14"
"4316758","Santa Clara do Sul (RS)","Total","Total","96.89","0.64","2.47","-"
"4316808","Santa Cruz do Sul (RS)","Total","Total","86.13","5.52","8.00","0.05"
"4316907","Santa Maria (RS)","Total","Total","83.49","4.97","11.25","0.10"
"4316956","Santa Maria do Herval (RS)","Total","Total","97.18","0.31","2.29","-"
"4316972","Santa Margarida do Sul (RS)","Total","Total","80.28","5.77","12.63","-"
"4317004","Santana da Boa Vista (RS)","Total","Total","84.99","4.75","9.11","-"
"4317103","Sant'Ana do Livramento (RS)","Total","Total","79.17","8.00","12.57","0.04"
"4317202","Santa Rosa (RS)","Total","Total","85.82","1.21","12.59","0.04"
"4317251","Santa Tereza (RS)","Total","Total","97.32","1.02","1.53","-"
"4317301","Santa Vitória do Palmar (RS)","Total","Total","82.45","8.87","8.15","0.16"
"4317400","Santiago (RS)","Total","Total","84.75","1.96","13.01","0.04"
